Protocol,SrcIPAddress,SrcPort,DstPort,Direction,Dst,Purpose
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,hcss.jfrog.io,PCE updates (JFrog.io)
SSH,[10.192.1.15;10.192.1.16],Any,2222,outbound,hogan.nimblestorage.com,Secure tunnel connection for Nimble Storage support (HPE)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,hpe-glmi.api.opsramp.com,Monitoring (OpsRamp)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,hpeglobalcsm.service-now.com,Service management (ServiceNow)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,hpeglobalcsmdev.service-now.com,Service management (ServiceNow)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,hpeglobalcsmuat.service-now.com,Service management (ServiceNow)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,iam.us1.greenlake-hpe.com,Security (HPE)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,infosight.hpe.com,HPE Storage
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,infosight.nimblestorage.com,Nimble Storage Management (HPE)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,install.service-now.com,Service management (ServiceNow)
HTTP,[10.192.1.11;10.192.1.12;10.192.1.13],Any,80,outbound,jfrog.io,PCE updates (JFrog.io)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,jfrog.io,PCE updates (JFrog.io)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,k8s.gcr.io,PCE updates (gcr.io)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,kms.eu-west-1.amazonaws.com,Security (AWS KMS)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,kms.us-east-1.amazonaws.com,Security (AWS KMS)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,kms.us-west-2.amazonaws.com,Security (AWS KMS)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,lhapi.us1.greenlake-hpe.com,PCE installation (HPE)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,listener-wa.logz.io,Logging (Logz.io)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,8071,outbound,listener.logz.io,Logging (Logz.io)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,8053,outbound,listener.logz.io,Logging (Logz.io)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,login.live.com,Update (Windows)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,metal.us1.greenlake-hpe.com,PCE installation (HPE)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,midway-ll.ext.hpe.com,Infrastructure management (HPE)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,midway.ext.hpe.com,Infrastructure management (HPE)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,morpheushub.com,Deployment and management of PCE and hybrid cloud (Morpheus)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,msedge.api.cdp.microsoft.com,Update (Windows)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,nsalerts.nimblestorage.com,Alerts for Nimble Storage (HPE)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,nsdiag.nimblestorage.com,Diagnostics for Nimble Storage (HPE)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,nsstats.nimblestorage.com,VMware streaming Statistics for Nimble Storage (HPE)
HTTP,[10.192.1.11;10.192.1.12;10.192.1.13],Any,80,outbound,ntservicepack.microsoft.com,Update (Windows)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,objects.githubusercontent.com,PCE updates(githubusercontent.com)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,ocg-web01-pod4.opsramp.com,Monitoring (OpsRamp)
HTTP,[10.192.1.11;10.192.1.12;10.192.1.13],Any,80,outbound,ocsp.entrust.net,Service management security (ServiceNow)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,ocsp.entrust.net,Service management security (ServiceNow)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,otlp.nr-data.net,Consumption analytics for PCE (nr-data.net)
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,p1lg501824.it.hpe.com,HPE Storage
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,p1lg501825.it.hpe.com,HPE Storage
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,p1lg501826.it.hpe.com,HPE Storage
HTTPS,[10.192.1.11;10.192.1.12;10.192.1.13],Any,443,outbound,p1lg503763.it.hpe.com,HPE Storage
